-0.523599	0.15	1.15
-0.493752	0.154761	1.13718
-0.463905	0.159522	1.12437
-0.434059	0.164283	1.11155
-0.404212	0.169044	1.09874
-0.374365	0.173805	1.08592
-0.344518	0.178566	1.07311
-0.314672	0.183327	1.06029
-0.284825	0.188089	1.04748
-0.254978	0.19285	1.03466
-0.225131	0.197611	1.02185
-0.195285	0.202372	1.00903
-0.165438	0.207133	0.996219
-0.135591	0.211894	0.983404
-0.105744	0.216655	0.970589
-0.0758977	0.221416	0.957773
-0.046051	0.226177	0.944958
-0.0162043	0.230938	0.932143
0.0136425	0.235699	0.919328
0.0434892	0.24046	0.906513
0.073336	0.245221	0.893698
0.103183	0.249982	0.880883
0.133029	0.254743	0.868068
0.162876	0.259505	0.855253
0.192723	0.264266	0.842437
0.22257	0.269027	0.829622
0.252416	0.273788	0.816807
0.282263	0.278549	0.803992
0.31211	0.28331	0.791177
0.341957	0.288071	0.778362
0.360145	0.314024	0.777307
0.378333	0.339976	0.776252
0.396521	0.365929	0.775197
0.414709	0.391881	0.774142
0.432897	0.417834	0.773086
0.451085	0.443786	0.772031
0.469273	0.469739	0.770976
0.487461	0.495691	0.769921
0.505649	0.521644	0.768866
0.523837	0.547596	0.767811
0.542026	0.573549	0.766756
0.560214	0.599502	0.765701
0.557402	0.626459	0.783719
0.554591	0.653417	0.801737
0.55178	0.680375	0.819755
0.548969	0.707333	0.837773
0.546158	0.734291	0.855791
0.543347	0.761249	0.873809
0.540536	0.788207	0.891828
0.537725	0.815165	0.909846
0.534914	0.842122	0.927864
0.532103	0.86908	0.945882
0.529291	0.896038	0.9639
0.52648	0.922996	0.981918
0.523669	0.949954	0.999936
